No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, pip, 25, 15, 1, RandomForestRegressor, Close_proc, Close_norm, 0.5319, 0.0475, 0.5028, 0.0568, 0.008, 0.003, 0.2, ++-++, 1.061, 0.314, 8.563
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, padding, 25, 5, 1, RandomForestRegressor, Close_proc, Close_norm, 0.4974, 0.0319, 0.4722, 0.0315, 0.008, 0.003, 0.263, +-+++, -0.17, 2.458, 41.112
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, padding, 25, 15, 1, RandomForestRegressor, Close_proc, Close_norm, 0.4973, 0.0441, 0.4617, 0.051, 0.009, 0.003, 0.216, ++--+, 0.053, -5.365, -86.309
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 25, 5, 1, RandomForestRegressor, Close_proc, Close_norm, 0.5024, 0.0451, 0.4716, 0.0442, 0.008, 0.003, 0.227, +-+++, 0.303, 3.331, 57.06
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 25, 15, 1, RandomForestRegressor, Close_proc, Close_norm, 0.5001, 0.048, 0.4618, 0.0576, 0.009, 0.003, 0.205, -+--+, 0.447, -2.574, -41.29
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, delay_time_join, 25, 5, 1, RandomForestRegressor, Close_proc, Close_norm, 0.5253, 0.0283, 0.5063, 0.0336, 0.008, 0.003, 0.258, +--++, -0.113, 2.125, 36.246
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, delay_time_join, 25, 15, 1, RandomForestRegressor, Close_proc, Close_norm, 0.4944, 0.0549, 0.4699, 0.0674, 0.009, 0.003, 0.24, ++-+-, 0.176, -1.525, -26.947
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, pip, 25, 5, 1, RandomForestRegressor, Close_proc, Close_norm, 0.5074, 0.0486, 0.4808, 0.047, 0.008, 0.003, 0.24, +--++, -0.051, 0.07, 13.321
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, pip, 25, 15, 1, RandomForestRegressor, Close_proc, Close_norm, 0.5262, 0.0603, 0.4891, 0.0701, 0.008, 0.003, 0.223, ++-++, 0.781, 1.938, 36.963
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, sax, padding, 25, 5, 1, RandomForestRegressor, Close_proc, Close_norm, 0.5302, 0.0452, 0.5004, 0.0336, 0.009, 0.002, 0.232, +-+++, -0.004, 1.582, 31.83
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, sax, padding, 25, 15, 1, RandomForestRegressor, Close_proc, Close_norm, 0.4653, 0.0406, 0.4468, 0.0556, 0.009, 0.003, 0.219, +---+, 0.175, -2.232, -34.818
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, sax, time_join, 25, 5, 1, RandomForestRegressor, Close_proc, Close_norm, 0.5101, 0.0245, 0.4795, 0.0159, 0.009, 0.002, 0.237, +-+++, -0.046, 0.745, 14.998
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, sax, time_join, 25, 15, 1, RandomForestRegressor, Close_proc, Close_norm, 0.4739, 0.0429, 0.447, 0.0573, 0.009, 0.003, 0.22, +--++, 0.988, -0.622, -4.14
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, sax, delay_time_join, 25, 5, 1, RandomForestRegressor, Close_proc, Close_norm, 0.51, 0.0257, 0.4894, 0.0288, 0.009, 0.002, 0.24, +-+++, -0.002, 3.912, 67.04
