No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
 1, ['Close_proc'], None, euclidean, padding, 25, 10, 1, XGBClassifier, Close_proc, Close_norm, 0.5042, 0.0594, 0.4969, 0.0608, NaN, NaN, 0.499, +++--, 0.102, 3.851, 56.226
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 25, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.4912, 0.0315, 0.4723, 0.0416, NaN, NaN, 0.219, -++++, 1.383, 2.679, 46.672
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 25, 10, 1, XGBClassifier, Close_proc, Close_norm, 0.5211, 0.0457, 0.5135, 0.0454, NaN, NaN, 0.255, +++-+, 0.919, 1.054, 16.031
 1, ['Close_proc'], None, euclidean, time_join, 25, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.4723, 0.0327, 0.4667, 0.0341, NaN, NaN, 0.485, ++-+-, 0.49, 0.212, -4.059
 1, ['Close_proc'], None, euclidean, time_join, 25, 10, 1, XGBClassifier, Close_proc, Close_norm, 0.4961, 0.067, 0.4929, 0.0647, NaN, NaN, 0.512, ++++-, -0.228, 4.462, 63.509
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, time_join, 25, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.5111, 0.0551, 0.4946, 0.0643, NaN, NaN, 0.239, -++++, 1.087, 2.382, 41.722
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, time_join, 25, 10, 1, XGBClassifier, Close_proc, Close_norm, 0.5026, 0.0186, 0.4956, 0.0174, NaN, NaN, 0.245, +++++, 1.149, 2.504, 42.695
 1, ['Close_proc'], None, euclidean, delay_time_join, 25, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.5, 0.0438, 0.4958, 0.045, NaN, NaN, 0.477, +++-+, 0.361, 1.96, 30.228
 1, ['Close_proc'], None, euclidean, delay_time_join, 25, 10, 1, XGBClassifier, Close_proc, Close_norm, 0.5043, 0.0742, 0.5012, 0.0711, NaN, NaN, 0.494, ++-+-, 0.036, 3.355, 48.686
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, delay_time_join, 25, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.4985, 0.0643, 0.486, 0.0688, NaN, NaN, 0.279, -++++, 0.982, 2.133, 38.488
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, delay_time_join, 25, 10, 1, XGBClassifier, Close_proc, Close_norm, 0.524, 0.0187, 0.5116, 0.0235, NaN, NaN, 0.295, +++++, 0.759, 4.027, 64.312
 1, ['Close_proc'], None, euclidean, pip, 25, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.5204, 0.065, 0.5155, 0.0641, NaN, NaN, 0.487, ++--+, 0.424, 2.366, 32.81
 1, ['Close_proc'], None, euclidean, pip, 25, 10, 1, XGBClassifier, Close_proc, Close_norm, 0.4477, 0.0729, 0.4451, 0.071, NaN, NaN, 0.474, --+--, -0.961, -3.064, -59.049
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, pip, 25, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.5187, 0.0176, 0.5056, 0.0187, NaN, NaN, 0.204, +++-+, 1.619, 5.243, 82.017
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, pip, 25, 10, 1, XGBClassifier, Close_proc, Close_norm, 0.5107, 0.0144, 0.4908, 0.0121, NaN, NaN, 0.197, ++++-, 0.786, 1.734, 25.349
 1, ['Close_proc'], None, pearson, padding, 25, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.495, 0.0345, 0.4857, 0.0355, NaN, NaN, 0.497, ++-+-, 0.807, 0.818, 10.225
 1, ['Close_proc'], None, pearson, padding, 25, 10, 1, XGBClassifier, Close_proc, Close_norm, 0.4935, 0.0789, 0.489, 0.0768, NaN, NaN, 0.474, -+++-, -0.243, 2.807, 38.208
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, padding, 25, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.546, 0.0523, 0.5419, 0.0495, NaN, NaN, 0.247, +++++, 1.644, 6.242, 107.201
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, padding, 25, 10, 1, XGBClassifier, Close_proc, Close_norm, 0.5293, 0.0187, 0.5181, 0.021, NaN, NaN, 0.258, +++++, 1.0, 4.081, 62.178
 1, ['Close_proc'], None, pearson, time_join, 25, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.5099, 0.0463, 0.5024, 0.0485, NaN, NaN, 0.475, ++-++, 0.805, 1.765, 30.967
 1, ['Close_proc'], None, pearson, time_join, 25, 10, 1, XGBClassifier, Close_proc, Close_norm, 0.4881, 0.0825, 0.4828, 0.0812, NaN, NaN, 0.45, -+++-, -0.506, 3.463, 55.733
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, time_join, 25, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.5085, 0.0425, 0.5047, 0.0433, NaN, NaN, 0.272, +++++, 1.555, 4.726, 78.928
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, time_join, 25, 10, 1, XGBClassifier, Close_proc, Close_norm, 0.5319, 0.0171, 0.526, 0.0176, NaN, NaN, 0.3, +++++, 1.107, 4.565, 72.189
 1, ['Close_proc'], None, pearson, delay_time_join, 25, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.5228, 0.0473, 0.5118, 0.0478, NaN, NaN, 0.465, -++++, 0.271, 3.789, 61.523
 1, ['Close_proc'], None, pearson, delay_time_join, 25, 10, 1, XGBClassifier, Close_proc, Close_norm, 0.4746, 0.0658, 0.4694, 0.0603, NaN, NaN, 0.477, ++++-, -0.575, 2.334, 32.019
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, delay_time_join, 25, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.536, 0.0507, 0.5282, 0.0506, NaN, NaN, 0.272, +-+++, 1.353, 5.207, 86.448
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, delay_time_join, 25, 10, 1, XGBClassifier, Close_proc, Close_norm, 0.4975, 0.0469, 0.4802, 0.0367, NaN, NaN, 0.284, +-++-, 0.383, 1.334, 14.801
 1, ['Close_proc'], None, pearson, pip, 25, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.4775, 0.0661, 0.4714, 0.0663, NaN, NaN, 0.482, ++---, 0.047, -3.067, -59.187
 1, ['Close_proc'], None, pearson, pip, 25, 10, 1, XGBClassifier, Close_proc, Close_norm, 0.4935, 0.072, 0.485, 0.0696, NaN, NaN, 0.518, -++--, 0.051, 0.57, 2.935
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, pip, 25, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.4863, 0.0481, 0.4764, 0.0467, NaN, NaN, 0.274, +--+-, 0.964, 0.28, 1.635
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, pip, 25, 10, 1, XGBClassifier, Close_proc, Close_norm, 0.5107, 0.0144, 0.4821, 0.0299, NaN, NaN, 0.221, +++-+, 0.404, 1.319, 20.697
 1, ['Close_proc'], None, co-integration, padding, 25, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.5178, 0.0705, 0.5134, 0.0702, NaN, NaN, 0.528, +++-+, 0.157, 5.715, 90.016
