No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, pearson, delay_time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5136, 0.0524, 0.4989, 0.063, 0.525, 0.23, 0.254, +-+++, 1.11, 2.589, 43.132
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, pearson, delay_time_join, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5271, 0.0374, 0.5063, 0.0354, 0.572, 0.267, 0.236, ++-++, 1.686, 2.093, 35.565
 1, ['Close_norm'], SAX, pearson, pip, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5135, 0.062, 0.4961, 0.0676, 0.516, 0.23, 0.272, +-+-+, 0.327, 2.318, 38.619
 1, ['Close_norm'], SAX, pearson, pip, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5043, 0.0277, 0.49, 0.0194, 0.537, 0.241, 0.279, +++--, 1.16, 2.754, 39.876
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, pearson, pip, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5049, 0.0485, 0.4905, 0.0532, 0.51, 0.2, 0.288, +++++, 1.158, 3.479, 61.389
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, pearson, pip, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4971, 0.0388, 0.4745, 0.0472, 0.545, 0.241, 0.252, +--+-, 1.112, -0.167, -3.027
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, pearson, pip, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5112, 0.0218, 0.4976, 0.0382, 0.515, 0.232, 0.237, +-++-, 1.164, 3.64, 56.23
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, pearson, pip, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5271, 0.0249, 0.5072, 0.0251, 0.531, 0.274, 0.254, ++++-, 1.516, 1.393, 20.582
 1, ['Close_norm'], SAX, co-integration, padding, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.551, 0.043, 0.5388, 0.052, 0.506, 0.247, 0.309, +++-+, 0.843, 8.063, 132.847
 1, ['Close_norm'], SAX, co-integration, padding, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5041, 0.0467, 0.4829, 0.0445, 0.531, 0.248, 0.211, --+-+, 0.387, 3.455, 55.994
