No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, delay_time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4936, 0.0771, 0.4798, 0.0709, 0.388, 0.206, 0.249, +--++, 0.47, -0.984, -5.813
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, delay_time_join, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5133, 0.0215, 0.5017, 0.023, 0.394, 0.208, 0.287, +-++-, 0.584, 4.031, 64.346
 1, ['Close_norm'], None, co-integration, pip, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5537, 0.0443, 0.5475, 0.0444, 0.364, 0.219, 0.349, +++++, 1.144, 8.124, 129.203
 1, ['Close_norm'], None, co-integration, pip, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5159, 0.0351, 0.5095, 0.0288, 0.38, 0.21, 0.333, +-+++, 0.643, 3.679, 60.769
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, pip, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5202, 0.0461, 0.5042, 0.0479, 0.387, 0.21, 0.316, +--++, 0.645, -0.561, -10.339
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, pip, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5095, 0.0341, 0.5054, 0.031, 0.404, 0.213, 0.307, ++---, 1.24, 0.427, 1.885
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, pip, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5337, 0.0559, 0.5241, 0.055, 0.369, 0.206, 0.314, +--++, 1.161, 2.171, 40.557
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, pip, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4813, 0.0247, 0.4674, 0.02, 0.395, 0.204, 0.232, +-+-+, 0.807, 1.74, 28.047
 1, ['Close_norm'], None, sax, padding, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5111, 0.0899, 0.5035, 0.0906, 0.411, 0.198, 0.349, +--++, 0.521, 3.017, 55.267
 1, ['Close_norm'], None, sax, padding, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4867, 0.069, 0.4792, 0.0663, 0.42, 0.21, 0.295, +-+--, 0.263, 0.136, -0.455
