No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 25, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4684, 0.0468, 0.4202, 0.044, NaN, NaN, 0.185, +--+-, -0.028, -5.67, -96.264
 1, ['Close_norm'], None, co-integration, delay_time_join, 25, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5, 0.0386, 0.488, 0.038, NaN, NaN, 0.266, +----, 0.068, -2.982, -52.698
 1, ['Close_norm'], None, co-integration, delay_time_join, 25, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5184, 0.0454, 0.4926, 0.0498, NaN, NaN, 0.248, +--++, 0.541, -1.274, -20.356
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, delay_time_join, 25, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5039, 0.0659, 0.4974, 0.0629, NaN, NaN, 0.332, +++++, 0.752, 3.048, 50.613
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, delay_time_join, 25, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.485, 0.0476, 0.4527, 0.05, NaN, NaN, 0.215, +-+-+, 0.499, 1.982, 36.137
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, delay_time_join, 25, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5375, 0.0583, 0.5242, 0.0555, NaN, NaN, 0.341, +--++, 0.181, -0.684, -6.057
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, delay_time_join, 25, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5, 0.041, 0.458, 0.0417, NaN, NaN, 0.205, +--++, 0.609, 0.357, 10.145
 1, ['Close_norm'], None, co-integration, pip, 25, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4919, 0.0373, 0.4647, 0.0229, NaN, NaN, 0.282, +++-+, 0.237, 2.995, 47.227
 1, ['Close_norm'], None, co-integration, pip, 25, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5043, 0.0387, 0.4719, 0.0429, NaN, NaN, 0.157, +--+-, 0.789, -2.077, -35.223
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, pip, 25, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5013, 0.0183, 0.4934, 0.0217, NaN, NaN, 0.369, +--++, 0.476, 2.426, 41.909
