No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
 1, ['Close_norm'], None, co-integration, pip, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4894, 0.0571, 0.4837, 0.0582, 0.379, 0.205, 0.301, +-+--, -0.228, 2.865, 42.591
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, pip, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5, 0.0362, 0.4836, 0.0404, 0.396, 0.218, 0.298, ++-+-, 0.642, -1.887, -37.363
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, pip, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4933, 0.0464, 0.4634, 0.0643, 0.39, 0.212, 0.272, -+-+-, 0.953, -0.805, -12.603
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, pip, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5261, 0.0428, 0.5062, 0.0416, 0.382, 0.194, 0.264, +-+++, 1.039, 6.557, 108.049
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, pip, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5028, 0.0621, 0.4893, 0.0654, 0.376, 0.199, 0.28, +-++-, 0.165, -0.018, -6.002
 1, ['Close_norm'], None, sax, padding, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4812, 0.0429, 0.4785, 0.0423, 0.396, 0.21, 0.384, +---+, 0.068, -1.338, -17.918
 1, ['Close_norm'], None, sax, padding, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5107, 0.0144, 0.5046, 0.0152, 0.341, 0.173, 0.327, ++++-, 0.703, 4.595, 72.352
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, padding, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5253, 0.0435, 0.5148, 0.0454, 0.403, 0.2, 0.29, +-+++, 0.281, 4.096, 65.527
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, padding, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4663, 0.0181, 0.4502, 0.0197, 0.379, 0.189, 0.318, ---++, 0.582, -1.72, -22.35
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, sax, padding, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4987, 0.0195, 0.4896, 0.0123, 0.396, 0.202, 0.244, +---+, 0.162, -2.078, -32.625
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, sax, padding, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.492, 0.0311, 0.4867, 0.0287, 0.359, 0.177, 0.263, +--+-, 0.423, -0.314, -9.291
 1, ['Close_norm'], None, sax, time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4986, 0.0463, 0.4958, 0.0458, 0.395, 0.21, 0.364, +---+, 0.59, -1.248, -16.976
 1, ['Close_norm'], None, sax, time_join, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4974, 0.0235, 0.4876, 0.0311, 0.348, 0.185, 0.322, ++++-, 0.406, 3.583, 54.237
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5178, 0.0442, 0.5058, 0.0444, 0.4, 0.194, 0.306, +-++-, 0.295, 3.283, 49.297
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4851, 0.0348, 0.4715, 0.0414, 0.385, 0.196, 0.318, ---++, 0.795, -1.759, -23.968
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, sax, time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4987, 0.0195, 0.486, 0.0092, 0.393, 0.2, 0.239, +--+-, 0.152, -0.943, -13.907
