No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, dtw, pip, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5076, 0.029, 0.4511, 0.0677, 0.99, 0.351, 0.134, -----, 0.97, -2.106, -34.346
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, dtw, pip, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4623, 0.0362, 0.3893, 0.0665, 1.078, 0.436, 0.081, X-X-+, 0.363, -3.49, -53.642
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 50, 5, 1, RandomForestRegressor, Close_proc, Close_norm, 0.5431, 0.054, 0.5202, 0.0662, 0.009, 0.003, 0.215, ++-+-, 0.194, 0.013, -1.14
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 50, 15, 1, RandomForestRegressor, Close_proc, Close_norm, 0.5376, 0.039, 0.4981, 0.0495, 0.008, 0.003, 0.217, ++-++, 1.21, 4.712, 82.189
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, time_join, 50, 5, 1, RandomForestRegressor, Close_proc, Close_norm, 0.5356, 0.0597, 0.5126, 0.0688, 0.009, 0.003, 0.24, ++-+-, -0.037, -0.762, -16.761
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, time_join, 50, 15, 1, RandomForestRegressor, Close_proc, Close_norm, 0.5289, 0.0415, 0.4792, 0.0576, 0.008, 0.003, 0.182, ++-++, 0.824, 3.421, 59.28
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, delay_time_join, 50, 5, 1, RandomForestRegressor, Close_proc, Close_norm, 0.5127, 0.0315, 0.4719, 0.0433, 0.009, 0.003, 0.22, +--+-, 0.301, 0.825, 14.094
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, delay_time_join, 50, 15, 1, RandomForestRegressor, Close_proc, Close_norm, 0.4973, 0.0333, 0.4366, 0.0534, 0.008, 0.003, 0.162, +++++, 0.542, 3.669, 61.268
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, pip, 50, 5, 1, RandomForestRegressor, Close_proc, Close_norm, 0.5103, 0.0576, 0.4864, 0.0763, 0.009, 0.002, 0.24, +-++-, -0.526, 1.833, 23.969
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, pip, 50, 15, 1, RandomForestRegressor, Close_proc, Close_norm, 0.5029, 0.0302, 0.4715, 0.0307, 0.008, 0.003, 0.196, ++--+, 1.045, 0.515, 12.413
