No. of features, selected_features, sim_func, fix_len_func, k stock, window_len, next_t, model, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, mean_sharp_ratio, mean_profit, std_profit
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, pip, 10, 0, 3, GradientBoostingRegressor, 0.5103, 0.0344, 0.5072, 0.0337, 0.012, 0.003, -0.01, 12.478, 52.926
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, pip, 10, 0, 3, GradientBoostingClassifier, 0.5117, 0.0381, 0.4805, 0.047, NaN, NaN, 0.256, -0.043, 31.919
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, pip, 10, 0, 7, RandomForestRegressor, 0.4973, 0.0365, 0.4964, 0.0365, 0.012, 0.003, 0.303, 3.111, 22.758
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, pip, 10, 0, 7, RandomForestClassifier, 0.5065, 0.0452, 0.498, 0.0485, NaN, NaN, 0.525, 14.435, 47.527
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, pip, 10, 0, 7, GradientBoostingRegressor, 0.4991, 0.0543, 0.4942, 0.056, 0.012, 0.003, 0.208, 11.498, 42.983
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, pip, 10, 0, 7, GradientBoostingClassifier, 0.5169, 0.0411, 0.4738, 0.0593, NaN, NaN, 0.192, 11.421, 46.801
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, time_join, 10, 0, 1, RandomForestRegressor, 0.4818, 0.045, 0.4804, 0.0455, 0.012, 0.003, 0.041, 5.735, 20.936
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, time_join, 10, 0, 1, RandomForestClassifier, 0.4925, 0.0368, 0.4756, 0.0448, NaN, NaN, 0.299, 6.413, 55.751
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, time_join, 10, 0, 1, GradientBoostingRegressor, 0.5063, 0.0343, 0.5031, 0.0348, 0.012, 0.003, 0.16, 7.541, 42.682
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, time_join, 10, 0, 1, GradientBoostingClassifier, 0.5043, 0.043, 0.4736, 0.0573, NaN, NaN, 0.103, 15.439, 45.176
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, time_join, 10, 0, 3, RandomForestRegressor, 0.4875, 0.0436, 0.4864, 0.0437, 0.012, 0.003, 0.539, 16.216, 44.521
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, time_join, 10, 0, 3, RandomForestClassifier, 0.4958, 0.0312, 0.4842, 0.0396, NaN, NaN, 0.336, 14.909, 78.842
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, time_join, 10, 0, 3, GradientBoostingRegressor, 0.5041, 0.0355, 0.5014, 0.0353, 0.012, 0.003, 0.005, 12.472, 52.961
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, time_join, 10, 0, 3, GradientBoostingClassifier, 0.5092, 0.0337, 0.4778, 0.0451, NaN, NaN, 0.225, -0.236, 32.381
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, time_join, 10, 0, 7, RandomForestRegressor, 0.4974, 0.0322, 0.4963, 0.0323, 0.012, 0.003, 0.277, 3.667, 21.65
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, time_join, 10, 0, 7, RandomForestClassifier, 0.5044, 0.0507, 0.495, 0.0513, NaN, NaN, 0.532, 15.981, 47.447
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, time_join, 10, 0, 7, GradientBoostingRegressor, 0.4973, 0.0547, 0.4952, 0.0549, 0.012, 0.003, 0.358, 12.945, 42.641
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, time_join, 10, 0, 7, GradientBoostingClassifier, 0.5123, 0.0403, 0.4742, 0.0534, NaN, NaN, 0.097, 10.115, 46.953
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, pip, 10, 0, 1, RandomForestRegressor, 0.4894, 0.0456, 0.4882, 0.0457, 0.012, 0.003, 0.002, 3.903, 21.307
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, pip, 10, 0, 1, RandomForestClassifier, 0.4966, 0.0366, 0.4818, 0.0413, NaN, NaN, 0.342, 4.584, 55.536
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, pip, 10, 0, 1, GradientBoostingRegressor, 0.5084, 0.0371, 0.4971, 0.0389, 0.012, 0.003, 0.158, 9.111, 42.458
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, pip, 10, 0, 1, GradientBoostingClassifier, 0.5001, 0.0441, 0.4675, 0.0588, NaN, NaN, 0.07, 13.515, 45.375
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, pip, 10, 0, 3, RandomForestRegressor, 0.4909, 0.0493, 0.4897, 0.0496, 0.012, 0.003, 0.374, 17.124, 44.069
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, pip, 10, 0, 3, RandomForestClassifier, 0.5095, 0.0379, 0.4984, 0.0417, NaN, NaN, 0.583, 16.547, 78.501
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, pip, 10, 0, 3, GradientBoostingRegressor, 0.5048, 0.0305, 0.4973, 0.0302, 0.012, 0.003, -0.302, 12.405, 52.623
