No. of features, selected_features, sim_func, fix_len_func, k stock, window_len, next_t, model, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, mean_sharp_ratio, mean_profit, std_profit
1, ['Close_proc'], sax, time_join, 25, 0, 3, GradientBoostingRegressor, 0.5119, 0.0572, 0.506, 0.0577, 0.011, 0.003, -0.19, 2.045, 37.425
1, ['Close_proc'], sax, time_join, 25, 0, 3, GradientBoostingClassifier, 0.5151, 0.0389, 0.4349, 0.0554, NaN, NaN, 0.1, -2.234, 42.146
1, ['Close_proc'], sax, time_join, 25, 0, 7, RandomForestRegressor, 0.5028, 0.0468, 0.5017, 0.0469, 0.014, 0.003, 0.011, 19.095, 82.332
1, ['Close_proc'], sax, time_join, 25, 0, 7, RandomForestClassifier, 0.5078, 0.0359, 0.5037, 0.0356, NaN, NaN, 0.04, 15.691, 53.16
1, ['Close_proc'], sax, time_join, 25, 0, 7, GradientBoostingRegressor, 0.4902, 0.0481, 0.486, 0.0481, 0.011, 0.003, -0.131, 5.785, 36.621
1, ['Close_proc'], sax, time_join, 25, 0, 7, GradientBoostingClassifier, 0.5281, 0.0372, 0.4237, 0.0567, NaN, NaN, 0.191, 17.366, 41.145
1, ['Close_proc'], sax, pip, 25, 0, 1, RandomForestRegressor, 0.4987, 0.0391, 0.4971, 0.0393, 0.014, 0.003, -0.359, -3.447, 33.613
1, ['Close_proc'], sax, pip, 25, 0, 1, RandomForestClassifier, 0.5052, 0.0391, 0.5021, 0.0395, NaN, NaN, 0.017, 1.324, 53.346
1, ['Close_proc'], sax, pip, 25, 0, 1, GradientBoostingRegressor, 0.5055, 0.0455, 0.4938, 0.0489, 0.011, 0.003, 0.096, 1.273, 50.924
1, ['Close_proc'], sax, pip, 25, 0, 1, GradientBoostingClassifier, 0.5157, 0.0381, 0.4459, 0.0484, NaN, NaN, 0.03, 5.382, 32.468
1, ['Close_proc'], sax, pip, 25, 0, 3, RandomForestRegressor, 0.5052, 0.0479, 0.504, 0.0477, 0.014, 0.003, 0.217, 13.033, 48.682
1, ['Close_proc'], sax, pip, 25, 0, 3, RandomForestClassifier, 0.5084, 0.0501, 0.5052, 0.0498, NaN, NaN, -0.003, 3.927, 54.068
1, ['Close_proc'], sax, pip, 25, 0, 3, GradientBoostingRegressor, 0.5015, 0.0579, 0.4946, 0.0608, 0.011, 0.003, -0.06, 0.412, 37.335
1, ['Close_proc'], sax, pip, 25, 0, 3, GradientBoostingClassifier, 0.5071, 0.0403, 0.4511, 0.0466, NaN, NaN, 0.141, -3.705, 41.619
1, ['Close_proc'], sax, pip, 25, 0, 7, RandomForestRegressor, 0.496, 0.0409, 0.495, 0.041, 0.014, 0.003, 0.2, 18.952, 82.138
1, ['Close_proc'], sax, pip, 25, 0, 7, RandomForestClassifier, 0.5066, 0.0391, 0.503, 0.0385, NaN, NaN, 0.058, 15.273, 53.655
1, ['Close_proc'], sax, pip, 25, 0, 7, GradientBoostingRegressor, 0.4909, 0.0496, 0.4844, 0.051, 0.011, 0.003, -0.009, 6.155, 36.339
1, ['Close_proc'], sax, pip, 25, 0, 7, GradientBoostingClassifier, 0.5173, 0.0419, 0.429, 0.0607, NaN, NaN, 0.148, 18.488, 41.02
1, ['Close_proc'], co-integration, time_join, 25, 0, 1, RandomForestRegressor, 0.4966, 0.0373, 0.4952, 0.0374, 0.013, 0.003, -0.336, -3.557, 33.551
1, ['Close_proc'], co-integration, time_join, 25, 0, 1, RandomForestClassifier, 0.5001, 0.038, 0.4965, 0.0386, NaN, NaN, 0.033, 2.641, 52.608
1, ['Close_proc'], co-integration, time_join, 25, 0, 1, GradientBoostingRegressor, 0.5077, 0.0334, 0.5008, 0.0362, 0.011, 0.003, 0.018, 0.684, 51.029
1, ['Close_proc'], co-integration, time_join, 25, 0, 1, GradientBoostingClassifier, 0.5185, 0.0354, 0.4386, 0.0474, NaN, NaN, 0.083, 6.123, 32.549
1, ['Close_proc'], co-integration, time_join, 25, 0, 3, RandomForestRegressor, 0.5103, 0.0437, 0.5089, 0.0434, 0.013, 0.003, 0.232, 12.343, 49.135
1, ['Close_proc'], co-integration, time_join, 25, 0, 3, RandomForestClassifier, 0.5053, 0.0407, 0.5018, 0.0414, NaN, NaN, 0.072, 5.451, 53.755
1, ['Close_proc'], co-integration, time_join, 25, 0, 3, GradientBoostingRegressor, 0.4967, 0.0555, 0.49, 0.0588, 0.011, 0.003, -0.03, 1.114, 37.082
1, ['Close_proc'], co-integration, time_join, 25, 0, 3, GradientBoostingClassifier, 0.5067, 0.0381, 0.4488, 0.0487, NaN, NaN, 0.174, -2.569, 41.633
1, ['Close_proc'], co-integration, time_join, 25, 0, 7, RandomForestRegressor, 0.5004, 0.0427, 0.4995, 0.0429, 0.014, 0.003, 0.011, 16.249, 82.762
1, ['Close_proc'], co-integration, time_join, 25, 0, 7, RandomForestClassifier, 0.5076, 0.0395, 0.5041, 0.0388, NaN, NaN, 0.053, 14.729, 54.223
1, ['Close_proc'], co-integration, time_join, 25, 0, 7, GradientBoostingRegressor, 0.4967, 0.0501, 0.4912, 0.0513, 0.011, 0.003, 0.109, 6.759, 35.62
1, ['Close_proc'], co-integration, time_join, 25, 0, 7, GradientBoostingClassifier, 0.5181, 0.0427, 0.4348, 0.0574, NaN, NaN, 0.066, 18.703, 41.391
1, ['Close_proc'], co-integration, pip, 25, 0, 1, RandomForestRegressor, 0.5005, 0.0368, 0.4992, 0.037, 0.015, 0.002, 0.373, 9.131, 52.735
1, ['Close_proc'], co-integration, pip, 25, 0, 1, RandomForestClassifier, 0.4969, 0.0391, 0.4948, 0.0384, NaN, NaN, -0.067, -1.758, 53.673
1, ['Close_proc'], co-integration, pip, 25, 0, 1, GradientBoostingRegressor, 0.5046, 0.0393, 0.4982, 0.0389, 0.011, 0.003, 0.303, 5.943, 39.294
1, ['Close_proc'], co-integration, pip, 25, 0, 1, GradientBoostingClassifier, 0.4973, 0.0354, 0.474, 0.0396, NaN, NaN, -0.095, -3.63, 29.341
1, ['Close_proc'], co-integration, pip, 25, 0, 3, RandomForestRegressor, 0.5087, 0.0483, 0.5075, 0.0481, 0.015, 0.005, -0.165, -6.883, 40.916
1, ['Close_proc'], co-integration, pip, 25, 0, 3, RandomForestClassifier, 0.4944, 0.0353, 0.4875, 0.0363, NaN, NaN, -0.125, 1.705, 66.861
1, ['Close_proc'], co-integration, pip, 25, 0, 3, GradientBoostingRegressor, 0.5036, 0.0406, 0.4947, 0.0419, 0.012, 0.003, -0.231, -1.663, 25.021
1, ['Close_proc'], co-integration, pip, 25, 0, 3, GradientBoostingClassifier, 0.5308, 0.036, 0.3854, 0.0368, NaN, NaN, 0.206, 5.7, 34.895
1, ['Close_proc'], co-integration, pip, 25, 0, 7, RandomForestRegressor, 0.4996, 0.0515, 0.4984, 0.0516, 0.015, 0.003, -0.077, -3.183, 26.329
1, ['Close_proc'], co-integration, pip, 25, 0, 7, RandomForestClassifier, 0.5051, 0.0431, 0.4984, 0.0414, NaN, NaN, 0.279, 17.003, 61.317
1, ['Close_proc'], co-integration, pip, 25, 0, 7, GradientBoostingRegressor, 0.4913, 0.0511, 0.4833, 0.0506, 0.011, 0.003, -0.151, 0.509, 50.107
1, ['Close_proc'], co-integration, pip, 25, 0, 7, GradientBoostingClassifier, 0.5266, 0.0409, 0.3859, 0.0384, NaN, NaN, 0.099, 18.163, 61.578
1, ['Close_proc'], euclidean, time_join, 50, 0, 1, RandomForestRegressor, 0.5097, 0.0385, 0.5079, 0.0381, 0.014, 0.003, 0.235, 15.886, 57.133
1, ['Close_proc'], euclidean, time_join, 50, 0, 1, RandomForestClassifier, 0.4974, 0.0461, 0.496, 0.0461, NaN, NaN, -0.039, 4.593, 43.646
1, ['Close_proc'], euclidean, time_join, 50, 0, 1, GradientBoostingRegressor, 0.4976, 0.0446, 0.4909, 0.0469, 0.011, 0.003, 0.048, 12.762, 49.41
1, ['Close_proc'], euclidean, time_join, 50, 0, 1, GradientBoostingClassifier, 0.5153, 0.0438, 0.5051, 0.0443, NaN, NaN, 0.117, 13.372, 55.878
1, ['Close_proc'], euclidean, time_join, 50, 0, 3, RandomForestRegressor, 0.5106, 0.0404, 0.5094, 0.0405, 0.014, 0.003, -0.307, -1.218, 32.663
1, ['Close_proc'], euclidean, time_join, 50, 0, 3, RandomForestClassifier, 0.508, 0.0385, 0.5027, 0.0385, NaN, NaN, -0.024, 10.174, 39.267
1, ['Close_proc'], euclidean, time_join, 50, 0, 3, GradientBoostingRegressor, 0.4989, 0.0406, 0.4923, 0.0424, 0.011, 0.003, -0.461, -8.68, 26.558
1, ['Close_proc'], euclidean, time_join, 50, 0, 3, GradientBoostingClassifier, 0.5203, 0.0344, 0.4183, 0.0426, NaN, NaN, 0.008, 0.266, 30.643
1, ['Close_proc'], euclidean, time_join, 50, 0, 7, RandomForestRegressor, 0.4858, 0.0367, 0.4846, 0.0368, 0.014, 0.003, -0.043, 3.034, 21.791
1, ['Close_proc'], euclidean, time_join, 50, 0, 7, RandomForestClassifier, 0.5, 0.0337, 0.4927, 0.0318, NaN, NaN, 0.29, 4.039, 54.079
1, ['Close_proc'], euclidean, time_join, 50, 0, 7, GradientBoostingRegressor, 0.4887, 0.0439, 0.4819, 0.0446, 0.011, 0.003, 0.128, -1.338, 39.219
1, ['Close_proc'], euclidean, time_join, 50, 0, 7, GradientBoostingClassifier, 0.5247, 0.0386, 0.3756, 0.0384, NaN, NaN, -0.091, -0.219, 45.835
1, ['Close_proc'], euclidean, pip, 50, 0, 1, RandomForestRegressor, 0.5129, 0.0398, 0.5112, 0.0404, 0.014, 0.003, 0.348, 19.314, 64.56
